team,home_goal_difference,away_goal_difference
Liechtenstein,-2.041322314049587,-2.710144927536232
Lithuania,-0.3586956521739131,-1.161290322580645
Luhansk PR,1.5,-1.5
Luxembourg,-1.549019607843137,-2.4198113207547167
Macau,-1.6811594202898552,-2.8860759493670884
Madagascar,0.4156626506024097,-0.7727272727272727
Madrid,-1.0,
Malawi,0.326086956521739,-0.7236363636363637
Malaysia,0.8715789473684212,-0.7277777777777779
Maldives,0.029126213592232997,-1.9384615384615382
Mali,0.8769841269841269,-0.3186119873817035
Malta,-0.9645669291338582,-2.3725490196078436
Manchukuo,-4.5,-7.0
Mapuche,0.5,
Marshall Islands,-4.0,-1.0
Martinique,1.1333333333333333,-0.19277108433734935
Matabeleland,0.5,-1.3333333333333335
Maule Sur,,1.0
Mauritania,-0.1428571428571428,-1.38125
Mauritius,0.28859060402684555,-0.875
Mayotte,0.45454545454545436,-0.37037037037037046
Menorca,2.230769230769231,-0.41666666666666674
Mexico,1.12624584717608,0.08728179551122195
Micronesia,-5.5,-7.999999999999999
Moldova,-0.6439393939393938,-1.1686746987951806
Monaco,1.8888888888888888,-4.266666666666667
Mongolia,-0.8648648648648647,-2.5303030303030303
Montenegro,0.21978021978021967,-0.6582278481012658
Montserrat,-1.25,-2.3157894736842106
Morocco,1.2312138728323698,-0.014760147601476037
Mozambique,0.24431818181818188,-0.7070707070707071
Myanmar,0.81,-1.2511848341232228
Namibia,0.11363636363636376,-0.945578231292517
Nepal,-0.3015873015873016,-2.359154929577465
Netherlands,1.368421052631579,0.28287841191067
New Caledonia,1.777027027027027,0.5641025641025639
New Zealand,1.2011834319526626,-0.39676113360323884
Nicaragua,0.013157894736842035,-2.0616438356164384
Niger,0.03389830508474567,-1.2056737588652482
Nigeria,1.1949685534591197,-0.09649122807017552
Niue,-16.5,
North Korea,1.23841059602649,0.025104602510460206
North Macedonia,0.20529801324503327,-0.5032258064516129
North Vietnam,1.8,-0.631578947368421
Northern Cyprus,2.8181818181818183,0.41666666666666674
Northern Ireland,-0.3510324483775811,-1.1825613079019073
Northern Mariana Islands,-2.0,-4.8
Norway,0.3555045871559632,-0.5045871559633028
Occitania,1.9000000000000001,2.0769230769230766
Oman,0.48867313915857613,-0.5683760683760684
Orkney,-0.7222222222222223,-3.3000000000000003
Padania,1.5862068965517242,2.4375
Pakistan,-0.8585858585858586,-1.7333333333333334
Palau,-8.5,
Palestine,0.7741935483870968,-0.5548387096774194
Panama,0.4493927125506072,-0.8698630136986303
Panjab,2.2857142857142856,0.6666666666666665
Papua New Guinea,0.3972602739726028,-0.060975609756097615
Paraguay,0.4965277777777777,-0.5111111111111111
Parishes of Jersey,4.0,-1.0
Peru,0.2923076923076924,-0.597938144329897
Philippines,-0.06428571428571428,-1.7960199004975124
Poland,0.8461538461538463,-0.14038876889848817
Portugal,1.2038043478260871,0.015337423312883569
Provence,0.583333333333333,0.6363636363636362
Puerto Rico,0.013333333333333197,-2.022727272727273
Qatar,0.5978835978835979,-0.3813229571984438
Quebec,10.0,2.0
Raetia,-1.0,-3.125
Republic of Ireland,0.5057803468208091,-0.29965156794425085
Republic of St. Pauli,1.25,
Rhodes,0.8181818181818183,0.1428571428571428
Romani people,-0.6666666666666667,-2.75
Romania,0.9283746556473829,-0.18610421836228275
Russia,1.209726443768997,0.39379474940334136
Rwanda,0.3287671232876712,-0.7089552238805971
Ryūkyū,-9.0,
Réunion,0.5820895522388059,-0.7017543859649122
Saare County,-1.0000000000000002,-1.6500000000000001
Saarland,-2.1666666666666665,-0.9999999999999998
Saint Barthélemy,-0.1428571428571428,-1.3333333333333335
Saint Helena,-5.0,-4.166666666666667
Saint Kitts and Nevis,0.746031746031746,-0.79
Saint Lucia,0.0660377358490567,-0.9516129032258065
Saint Martin,-0.3846153846153848,-1.3333333333333335
Saint Pierre and Miquelon,-15.0,-10.166666666666668
Saint Vincent and the Grenadines,0.3867924528301887,-0.8538461538461537
Samoa,-0.4871794871794872,-4.09375
San Marino,-3.06140350877193,-4.50909090909091
Sark,-20.0,-16.666666666666668
Saudi Arabia,0.8445475638051043,-0.009708737864077666
Saugeais,0.0,
Scotland,0.8867469879518073,0.08256880733944949
Sealand,-1.2857142857142856,1.1999999999999997
Seborga,-1.0,
Senegal,1.0359712230215827,-0.013927576601671321
Serbia,0.9185185185185185,0.11737089201877926
Seychelles,-0.8271604938271604,-2.0631578947368423
Shetland,0.5,-0.7058823529411766
Sierra Leone,0.4206349206349206,-1.0114942528735633
Silesia,0.875,
Singapore,0.14092140921409224,-1.1712538226299696
Sint Maarten,0.14814814814814814,-2.090909090909091
Slovakia,0.6369047619047619,-0.2361809045226131
Slovenia,0.2774193548387096,-0.14197530864197527
Solomon Islands,1.1089108910891088,-0.6283185840707965
Somalia,-1.9183673469387754,-2.32
Somaliland,0.6666666666666665,-2.666666666666666
South Africa,0.6971830985915493,-0.010204081632652962
South Korea,1.263157894736842,0.3991228070175439
South Ossetia,-0.875,0.5555555555555554
South Sudan,-0.6216216216216216,-1.6829268292682928
South Yemen,,-2.333333333333333
Spain,1.6503667481662594,0.5951742627345844
Sri Lanka,-0.5299145299145298,-2.0671641791044775
Sudan,0.3267326732673266,-0.7191011235955057
Suriname,1.281767955801105,-0.2155963302752295
Surrey,,2.0
Sweden,1.1928838951310863,0.19929453262786612
Switzerland,0.3789237668161436,-0.6712328767123288
Syria,0.9230769230769231,-0.3774834437086092
Székely Land,1.5833333333333333,-1.2666666666666668
Sápmi,2.3684210526315788,-0.9000000000000001
São Tomé and Príncipe,-1.0333333333333332,-2.3902439024390243
Tahiti,1.9051724137931032,0.5158730158730158
Taiwan,-0.2530120481927711,-1.6851851851851853
Tajikistan,0.8941176470588235,-0.4782608695652175
Tamil Eelam,0.733333333333333,0.0
Tanzania,0.14965986394557818,-0.9049180327868853
Thailand,0.755939524838013,-0.600997506234414
Tibet,-2.5,-5.066666666666666
Ticino,-7.0,-4.0
Timor-Leste,-2.2962962962962963,-2.5593220338983054
Togo,0.46703296703296715,-0.8219696969696969
Tonga,-1.6896551724137931,-3.1538461538461537
Trinidad and Tobago,1.1052631578947367,-0.2780487804878047
Tunisia,0.9743589743589743,-0.17737003058103973
Turkey,0.40655737704918016,-0.3827893175074184
Turkmenistan,0.7971014492753623,-0.5283018867924529
Turks and Caicos Islands,-2.2272727272727275,-2.8666666666666663
Tuvalu,-1.8461538461538463,-5.346153846153847
Two Sicilies,,-2.5
Uganda,1.045307443365696,-0.27127659574468077
Ukraine,0.7300613496932515,-0.011428571428571344
United Arab Emirates,0.6017191977077363,-0.39163498098859306
United Koreans in Japan,0.25,1.75
United States,0.7374749498997997,-0.7422680412371134
United States Virgin Islands,-2.7058823529411766,-3.3863636363636362
Uruguay,0.9274611398963731,-0.0034246575342467
Uzbekistan,1.3374233128834354,0.010526315789473717
Vanuatu,0.14457831325301207,-0.5267175572519083
Vatican City,-0.6666666666666666,-2.75
Venezuela,-0.19487179487179485,-1.2765151515151514
Vietnam,0.8630952380952381,-0.48062015503875966
Vietnam Republic,1.0833333333333333,-0.09629629629629632
Wales,0.1138888888888887,-0.7950819672131146
Wallis Islands and Futuna,0.6666666666666665,-4.190476190476191
West Papua,-3.0,
Western Armenia,-0.6000000000000001,1.5454545454545454
Western Australia,1.0,-0.4193548387096775
Western Isles,-0.07692307692307665,-1.1904761904761905
Western Sahara,-2.0000000000000004,-4.0
Yemen,-0.17796610169491545,-2.006756756756757
Yemen DPR,-0.5,-1.8695652173913044
Ynys Môn,1.03125,-0.11428571428571432
Yorkshire,2.4,2.0
Yoruba Nation,-0.5,
Yugoslavia,1.0684210526315787,-0.058020477815699634
Zambia,1.0301204819277108,0.08893709327548827
Zanzibar,-0.5645161290322582,-1.4285714285714284
Zimbabwe,0.6176470588235295,-0.1952054794520548
Åland Islands,0.06451612903225801,-0.5499999999999998
