team,home_win_rate,home_draw_rate,home_loss_rate
Cameroon,58.78378378378378,26.013513513513516,15.202702702702704
Canada,47.004608294930875,22.58064516129032,30.414746543778804
Canary Islands,75.0,0.0,25.0
Cape Verde,48.78048780487805,24.390243902439025,26.82926829268293
Cascadia,100.0,0.0,0.0
Catalonia,46.15384615384615,25.64102564102564,28.205128205128204
Cayman Islands,30.555555555555557,15.277777777777779,54.166666666666664
Central African Republic,34.285714285714285,28.57142857142857,37.142857142857146
Central Spain,100.0,0.0,0.0
Chad,27.941176470588236,27.941176470588236,44.11764705882353
Chagos Islands,16.666666666666664,16.666666666666664,66.66666666666666
Chameria,100.0,0.0,0.0
Chechnya,0.0,100.0,0.0
Chile,53.051643192488264,19.014084507042252,27.93427230046948
China,57.89473684210527,21.052631578947366,21.052631578947366
Colombia,50.97402597402597,23.051948051948052,25.97402597402597
Comoros,27.27272727272727,36.36363636363637,36.36363636363637
Congo,46.79802955665024,23.645320197044335,29.55665024630542
Cook Islands,28.57142857142857,9.523809523809524,61.904761904761905
Corsica,37.5,50.0,12.5
Costa Rica,60.88154269972452,22.58953168044077,16.528925619834713
County of Nice,50.0,25.0,25.0
Croatia,60.10362694300518,26.42487046632124,13.471502590673575
Cuba,46.012269938650306,25.153374233128833,28.834355828220858
Curaçao,47.05882352941176,29.411764705882355,23.52941176470588
Cyprus,26.495726495726498,20.94017094017094,52.56410256410257
Czech Republic,65.1685393258427,14.04494382022472,20.786516853932586
Czechoslovakia,61.41078838174274,21.991701244813278,16.59751037344398
DR Congo,55.85585585585585,20.72072072072072,23.423423423423422
Darfur,0.0,0.0,100.0
Denmark,55.48098434004475,20.3579418344519,24.161073825503358
Djibouti,11.76470588235294,11.76470588235294,76.47058823529412
Dominica,31.57894736842105,22.807017543859647,45.614035087719294
Dominican Republic,48.86363636363637,18.181818181818183,32.95454545454545
Donetsk PR,50.0,50.0,0.0
Délvidék,50.0,0.0,50.0
Ecuador,45.588235294117645,26.10294117647059,28.308823529411764
Egypt,65.61797752808988,17.078651685393258,17.303370786516854
El Salvador,43.154761904761905,22.61904761904762,34.226190476190474
Elba Island,100.0,0.0,0.0
Ellan Vannin,75.0,16.666666666666664,8.333333333333332
England,61.88747731397459,21.960072595281307,16.152450090744104
Equatorial Guinea,42.22222222222222,25.555555555555554,32.22222222222222
Eritrea,26.923076923076923,34.61538461538461,38.46153846153847
Estonia,30.711610486891384,23.970037453183522,45.31835205992509
Eswatini,24.242424242424242,34.090909090909086,41.66666666666667
Ethiopia,46.02510460251046,27.615062761506277,26.359832635983267
Falkland Islands,15.384615384615385,0.0,84.61538461538461
Faroe Islands,28.57142857142857,12.857142857142856,58.57142857142858
Felvidék,33.33333333333333,33.33333333333333,33.33333333333333
Fiji,53.293413173652695,17.365269461077844,29.34131736526946
Finland,33.42541436464088,19.613259668508288,46.96132596685083
