team,away_win_rate,away_draw_rate,away_loss_rate
Mozambique,22.727272727272727,22.727272727272727,54.54545454545454
Myanmar,21.80094786729858,17.535545023696685,60.66350710900474
Namibia,17.006802721088434,23.809523809523807,59.183673469387756
Nepal,9.859154929577464,16.901408450704224,73.23943661971832
Netherlands,44.05940594059406,22.02970297029703,33.910891089108915
New Caledonia,37.60683760683761,15.384615384615385,47.008547008547005
New Zealand,30.64516129032258,18.951612903225808,50.403225806451616
Nicaragua,13.013698630136986,10.95890410958904,76.02739726027397
Niger,11.347517730496454,23.404255319148938,65.24822695035462
Nigeria,32.16374269005848,33.33333333333333,34.50292397660819
North Korea,30.543933054393307,31.380753138075313,38.07531380753138
North Macedonia,22.58064516129032,28.387096774193548,49.03225806451613
North Vietnam,21.052631578947366,15.789473684210526,63.1578947368421
Northern Cyprus,41.66666666666667,16.666666666666664,41.66666666666667
Northern Ireland,18.52861035422343,23.43324250681199,58.03814713896458
Northern Mariana Islands,6.666666666666667,0.0,93.33333333333333
Norway,32.723112128146454,20.823798627002287,46.453089244851256
Occitania,53.84615384615385,23.076923076923077,23.076923076923077
Oman,27.77777777777778,24.786324786324787,47.43589743589743
Orkney,20.0,0.0,80.0
Padania,62.5,18.75,18.75
Pakistan,13.333333333333334,16.666666666666664,70.0
Palestine,21.935483870967744,27.741935483870968,50.32258064516129
Panama,23.890784982935152,22.866894197952217,53.242320819112635
Panjab,50.0,8.333333333333332,41.66666666666667
Papua New Guinea,31.70731707317073,12.195121951219512,56.09756097560976
Paraguay,26.76056338028169,26.559356136820927,46.68008048289739
Parishes of Jersey,0.0,0.0,100.0
Peru,21.649484536082475,26.288659793814436,52.0618556701031
Philippines,16.417910447761194,13.432835820895523,70.1492537313433
Poland,34.98920086393088,25.70194384449244,39.30885529157667
Portugal,39.44954128440367,21.712538226299692,38.837920489296636
Provence,36.36363636363637,0.0,63.63636363636363
Puerto Rico,17.045454545454543,12.5,70.45454545454545
Qatar,30.888030888030887,23.93822393822394,45.173745173745175
Quebec,100.0,0.0,0.0
Raetia,12.5,25.0,62.5
Republic of Ireland,29.268292682926827,28.9198606271777,41.81184668989547
Rhodes,42.857142857142854,14.285714285714285,42.857142857142854
Romani people,25.0,0.0,75.0
Romania,31.5136476426799,28.53598014888337,39.950372208436725
Russia,43.198090692124104,28.878281622911693,27.923627684964202
Rwanda,21.641791044776117,20.8955223880597,57.46268656716418
Réunion,33.33333333333333,22.807017543859647,43.859649122807014
Saare County,5.0,25.0,70.0
Saarland,33.33333333333333,0.0,66.66666666666666
Saint Barthélemy,0.0,33.33333333333333,66.66666666666666
Saint Helena,0.0,0.0,100.0
Saint Kitts and Nevis,30.0,14.000000000000002,56.00000000000001
Saint Lucia,26.61290322580645,13.709677419354838,59.67741935483871
Saint Martin,26.190476190476193,7.142857142857142,66.66666666666666
Saint Pierre and Miquelon,0.0,0.0,100.0
Saint Vincent and the Grenadines,28.46153846153846,24.615384615384617,46.92307692307692
Samoa,9.375,3.125,87.5
San Marino,0.9090909090909091,3.6363636363636362,95.45454545454545
Sark,0.0,0.0,100.0
Saudi Arabia,37.29903536977492,24.437299035369776,38.263665594855304
Scotland,38.901601830663616,21.73913043478261,39.359267734553775
Sealand,40.0,60.0,0.0
Senegal,34.903047091412745,28.53185595567867,36.56509695290859
Serbia,38.497652582159624,25.352112676056336,36.15023474178404
Seychelles,5.263157894736842,17.894736842105264,76.84210526315789
Shetland,20.588235294117645,11.76470588235294,67.64705882352942
Sierra Leone,15.517241379310345,25.287356321839084,59.195402298850574
Singapore,21.100917431192663,18.960244648318042,59.9388379204893
Sint Maarten,27.27272727272727,15.151515151515152,57.57575757575758
Slovakia,35.678391959798994,20.100502512562816,44.221105527638194
Slovenia,28.39506172839506,30.864197530864196,40.74074074074074
Solomon Islands,30.08849557522124,18.58407079646018,51.32743362831859
Somalia,6.666666666666667,10.666666666666668,82.66666666666667
Somaliland,33.33333333333333,0.0,66.66666666666666
South Africa,34.34343434343434,28.28282828282828,37.37373737373738
South Korea,45.633187772925766,27.510917030567683,26.85589519650655
South Ossetia,33.33333333333333,11.11111111111111,55.55555555555556
South Sudan,9.75609756097561,14.634146341463413,75.60975609756098
South Yemen,0.0,0.0,100.0
Spain,47.860962566844925,28.609625668449194,23.52941176470588
Sri Lanka,9.701492537313433,14.925373134328357,75.3731343283582
Sudan,22.09737827715356,24.344569288389515,53.558052434456926
Suriname,31.19266055045872,25.229357798165136,43.57798165137615
Surrey,100.0,0.0,0.0
Sweden,39.894551845342704,22.144112478031637,37.96133567662566
Switzerland,26.136363636363637,23.636363636363637,50.227272727272734
Syria,27.81456953642384,25.496688741721858,46.688741721854306
Székely Land,13.333333333333334,13.333333333333334,73.33333333333333
Sápmi,20.0,10.0,70.0
São Tomé and Príncipe,2.4390243902439024,14.634146341463413,82.92682926829268
Tahiti,46.82539682539682,14.285714285714285,38.88888888888889
Taiwan,20.37037037037037,12.962962962962962,66.66666666666666
Tajikistan,29.565217391304348,22.608695652173914,47.82608695652174
Tamil Eelam,46.15384615384615,0.0,53.84615384615385
Tanzania,16.39344262295082,27.21311475409836,56.393442622950815
Thailand,23.44139650872818,26.433915211970078,50.12468827930174
